retailer,brand,product,price_dkk_normal,form_from_name,form_verified_detail,elemental_mg_per_dose,notes
Matas,Plantforce,Plantforce Magnesium Vegansk Neutral 150 g,149.95,uspecificeret,ikke_oplyst,,
Matas,Pikasol,Pikasol Omega-3 og Magnesium 120 stk,144.95,uspecificeret,,,kombi/ekskl: omega-3
Matas,Livol,Livol Magnesium 150 tabl,99.95,uspecificeret,ikke_oplyst,,pris 119.95->99.95
Matas,Biosym,Biosym Magnesium +300 Citrat 160 kaps.,229.95,citrat,,,
Matas,Livol,Livol Magnesium Citrat + B6 150 tabl.,99.95,citrat,,,kombi/ekskl: B6
Matas,Bodylab,Bodylab Magnesium 90 kaps.,94.95,uspecificeret,ikke_oplyst,,
Matas,Solgar,Solgar Magnesium citrat 200mg 120 tabl.,199.95,citrat,,,pris 209.95->199.95
Matas,New Nordic,New Nordic Magic Magnesium Citrat Gummies 60 stk,164.95,citrat,,,pris 159.95->164.95
Matas,Nani,Nani Calcium+Magensium til boern 91 g,149.95,uspecificeret,,,kombi/ekskl: calcium
Matas,New Nordic,New Nordic Magic Magnesium citrat 60 tabl.,209.95,citrat,,,pris 199.95->209.95
Matas,Plantforce,Plantforce Magnesium Vegansk Passionsfrugt 150 g,149.95,uspecificeret,ikke_oplyst,,
Matas,New Nordic,New Nordic Magic Magnesium Taurat 60 stk.,202.95,taurat,,,
Matas,WiseGum,WiseGum Travel & Go 30 stk,79.95,uspecificeret,,,ekskl: rejse-tyggegummi (ej mag-primaer)
Matas,Terranova,Terranova Magnesium 100 mg 50 kaps.,184.95,uspecificeret,bisglycinat,100,pris 189.95->184.95
Matas,Nani,Nani Magnesium paa organisk planteform 60 kaps,249.95,uspecificeret,ikke_oplyst,,
Matas,Biorto,Biorto Magnesium Citrat Vitality 90 kaps,63.95,citrat,,,
Matas,Solgar,Solgar Magnesium+B6 250 tabl.,184.95,uspecificeret,,,kombi/ekskl: B6
Matas,Mezina,Mezina Magnesium Citrat 180 stk,129.95,citrat,,,
Matas,Kraes,Kraes Ro Paa 100 ml,129.95,uspecificeret,,,ekskl: boerne-ro (ej mag-navngivet)
Matas,Camette,Camette Magnesium Complex 200 mg 90 tabl.,72.95,kompleks,,,ny/uverificeret Q3
Matas,Balance,Balance Magnesium,22.95,uspecificeret,ikke_oplyst,200,
Matas,New Nordic,New Nordic Magnesium Malate 90 tabl.,179.95,malat,,,pris 174.95->179.95
Matas,Pureviva,Pureviva Magnesium Citrat 200 mg 180 kaps.,169.95,citrat,,,
Matas,Fitness Pharma,Fitness Pharma Kalk,149.95,uspecificeret,,,kombi/ekskl: kalk/calcium
Matas,Mezina,"Mezina Mineral Komplex, Magnesium 180 tabl",299.95,uspecificeret,citrat+bisglycinat,120,
Matas,Nordbo,Nordbo Instant Magnesium Pulver 150 g,194.95,uspecificeret,bisglycinat+malat,,
Matas,Solgar,Solgar Calcium Magnesium Citrate 100 tabl.,214.95,citrat,,,kombi/ekskl: calcium
Matas,Glyc,Glyc Sharp 80 tabl.,254.95,uspecificeret,,,"ekskl: brandnavn, mag ej i navn (uverif)"
Matas,Biosym,Biosym Magnesium+300 60 kaps.,122.95,uspecificeret,oxid,,
Matas,Pureviva,Pureviva Calcium & Magnesium 360 kaps.,209.95,uspecificeret,,,kombi/ekskl: calcium
Matas,Solgar,Solgar Calcium Magnesium Citrate 50 tabl.,134.95,citrat,,,kombi/ekskl: calcium
Matas,Groenne,"Groenne vitaminer Kalk m/Magnesium, D3 og K2 90 stk",179.95,uspecificeret,,,kombi/ekskl: kalk/calcium
Matas,Shift,Shift Magnesium 60 tabl,179.95,uspecificeret,,,ny/uverificeret Q3
Matas,New Nordic,New Nordic Cal Mag Malate 120 kaps.,254.95,malat,,,kombi/ekskl: calcium
Matas,Nordbo,Nordbo Muscle Relief Magnesium 90 kaps.,274.95,uspecificeret,bisglycinat+malat,,
Matas,Nordbo,Nordbo Mage Vegansk 120 kaps.,389.95,uspecificeret,,,ekskl: tvetydigt navn
Matas,Mezina,"Mezina Mineral Komplex, Magnesium 60 tabl.",119.95,uspecificeret,citrat+bisglycinat,120,
Matas,Berthelsen,Mag-Citrat Berthelsen 120 kaps.,194.95,citrat,,,ny/uverificeret Q3
Matas,Longo Vital,Longo Vital D-Vitamin 40ug + Magnesium 60 stk,96.95,uspecificeret,,,kombi/ekskl: D-vitamin
Matas,Terranova,Terranova Smooth Mag Groentsagspulver 150 g,339.95,uspecificeret,,,ny/uverificeret Q3
Matas,Natur Drogeriet,Natur Drogeriet Magnesium 200 mg 90 tabl.,77.95,uspecificeret,,200,
Matas,Natures Own,Natures Own Magnesium 60 tabl,229.95,uspecificeret,ikke_oplyst,100-200,
Matas,Nordbo,Nordbo Good Night Instant Magnesium 150 g,249.95,uspecificeret,bisglycinat,,
Matas,Terranova,Terranova Magnesium 100mg 100 kaps,339.95,uspecificeret,bisglycinat,100,
Matas,Salus,Salus Magnesium 250 ml,169.95,uspecificeret,ikke_oplyst,219,
Matas,Pureviva,Pureviva Calcium & Magnesium 180 kaps.,129.95,uspecificeret,,,kombi/ekskl: calcium
Matas,PurePower,PurePower Magnesium Kapsler 90 kaps.,149.95,uspecificeret,ikke_oplyst,,
Matas,Terranova,Terranova Magnesium Calcium 2:1 Complex 50 kaps.,124.95,kompleks,,,kombi/ekskl: calcium
Matas,Epinutrics,Epinutrics Magnesium 60 kaps.,269.95,uspecificeret,ikke_oplyst,200,
Matas,Nordbo,Nordbo Muscle Relief Instant Magnesium 150 g,264.95,uspecificeret,bisglycinat+malat,,
Matas,Earth Nutrition,Earth Nutrition Magnesium BioGurt 30 kaps,239.95,uspecificeret,ikke_oplyst,,
Matas,Mezina,Mezina Kalk med Magnesium og D3-vitamin 180 stk,129.95,uspecificeret,,,kombi/ekskl: kalk/calcium
Matas,Wellexir,Wellexir A+ Magnesium 350Mg 120 Kapsler,129.95,uspecificeret,,,ny/uverificeret Q3
Matas,VitaYummy,VitaYummy Magnesium Citrate (Lemon) 110 stk,269.95,citrat,,,ny/uverificeret Q3
Matas,Solgar,Solgar Calcium magnesium +Zink 100 tabl.,97.95,uspecificeret,,,kombi/ekskl: calcium
Matas,Nordbo,Nordbo Good Night Magnesium 90 kaps.,299.95,uspecificeret,bisglycinat,,
