retailer,brand,product,price_dkk_normal,form_from_name,form_verified_detail,elemental_mg_per_dose,notes
Matas,New Nordic,New Nordic Magic Magnesium citrat 60 tabl.,199.95,citrat,,,
  Matas,New Nordic,New Nordic Magnesium malate 270 kaps.,339.95,malat,,,
  Matas,New Nordic,New Nordic Magic Magnesium Malate 60 tabl.,199.95,malat,,,
  Matas,Solaray,Solaray Magnesium Malate 90 tabl,191.95,malat,,,
  Matas,4 HIM & HER,4 HIM & HER Magnesium Glycinate Complex 90 stk.,199.95,bisglycinat,,,
  Matas,Solaray,Solaray Magnesium Citrat 250 mg 90 kaps.,124.95,citrat,,,
  Matas,Nani,Nani Magnesium paa organisk planteform 60 kaps,249.95,uspecificeret,ikke_oplyst,,planteform
  Matas,Natur Drogeriet,Natur Drogeriet Magnesium 200 mg 90 tabl.,77.95,uspecificeret,,200,ikke detail-verificeret
  Matas,Biosym,Biosym Magnesium+300 60 kaps.,122.95,uspecificeret,oxid,,samme produktlinje
Matas,Mezina,Mezina Mineral Komplex Magnesium 180 tabl,299.95,uspecificeret,citrat+bisglycinat,120,mix bekraeftet
Matas,Salus,Salus Magnesium 250 ml,169.95,uspecificeret,ikke_oplyst,219,flydende
  Matas,New Nordic,New Nordic Magic Magnesium Taurat 60 stk.,202.95,taurat,,,
  Matas,Livol,Livol Magnesium 150 tabl,119.95,uspecificeret,ikke_oplyst,,
  Matas,Pharma Nord,Pharma Nord Bio-Magnesium 200 mg 60 tabl.,109.95,uspecificeret,oxid+carbonat+hydroxid,200,samme produktlinje
Matas,Plantforce,Plantforce Magnesium Vegansk Neutral 150 g,149.95,uspecificeret,ikke_oplyst,,pulver planteform
Matas,Mezina,Mezina Mineral Komplex Magnesium 60 tabl.,119.95,uspecificeret,citrat+bisglycinat,120,samme produktlinje
Matas,Nordbo,Nordbo Good Night Instant Magnesium 150 g,249.95,uspecificeret,bisglycinat,,verificeret
  Matas,Pureviva,Pureviva Magnesium Citrat 200 mg 180 kaps.,169.95,citrat,,,
  Matas,Plantforce,Plantforce Magnesium Vegansk Passionsfrugt 150 g,149.95,uspecificeret,ikke_oplyst,,pulver planteform
Matas,Balance,Balance Magnesium,22.95,uspecificeret,ikke_oplyst,200,billigst i kategori
Matas,Nordbo,Nordbo Muscle Relief Instant Magnesium 150 g,264.95,uspecificeret,bisglycinat+malat,,verificeret
  Matas,Natures Own,Natures Own Magnesium 60 tabl,229.95,uspecificeret,ikke_oplyst,100-200,
  Matas,Epinutrics,Epinutrics Magnesium 60 kaps.,269.95,uspecificeret,ikke_oplyst,200,
  Matas,Biosym,Biosym Magnesium +300 Citrat 160 kaps.,229.95,citrat,,,
  Matas,Solgar,Solgar Magnesium Vitamin B6 100 tabl.,94.95,uspecificeret,,,B6-kombi graensetilfaelde
Matas,Nordbo,Nordbo Instant Magnesium Pulver 150 g,194.95,uspecificeret,bisglycinat+malat,,verificeret
  Matas,Longo Vital,Longo Vital D-Vitamin 40ug + Magnesium 60 stk,119.95,uspecificeret,,,D-kombi graensetilfaelde
Matas,New Nordic,New Nordic Magic Magnesium Citrat Gummies 60 stk,159.95,citrat,,,gummies
  Matas,New Nordic,New Nordic Magnesium Malate 90 tabl.,174.95,malat,,,
  Matas,Solgar,Solgar Magnesium citrat 200mg 120 tabl.,209.95,citrat,,,
  Matas,Solaray,Solaray Magnesium Citrate 225 g,329.95,citrat,,,pulver
  Matas,Livol,Livol Magnesium Citrat + B6 150 tabl.,119.95,citrat,,,B6-kombi graensetilfaelde
Matas,Solgar,Solgar Magnesium+B6 250 tabl.,184.95,uspecificeret,,,B6-kombi graensetilfaelde
Matas,Terranova,Terranova Magnesium 100 mg 50 kaps.,189.95,uspecificeret,bisglycinat,100,verificeret
  Matas,Terranova,Terranova Magnesium 100mg 100 kaps,339.95,uspecificeret,bisglycinat,100,verificeret
  Matas,Biorto,Biorto Magnesium Citrat Vitality 90 kaps,63.95,citrat,,,
  Matas,Bodylab,Bodylab Magnesium 90 kaps.,94.95,uspecificeret,ikke_oplyst,,
  Matas,PurePower,PurePower Magnesium Kapsler 90 kaps.,149.95,uspecificeret,ikke_oplyst,,
  Matas,Nordbo,Nordbo Muscle Relief Magnesium 90 kaps.,274.95,uspecificeret,bisglycinat+malat,,verificeret
  Matas,Earth Nutrition,Earth Nutrition Magnesium BioGurt 30 kaps,239.95,uspecificeret,ikke_oplyst,,
  Matas,Fitness Pharma,Fitness Pharma MagnesiumCitrat 200 kaps.,107.95,citrat,,,
  Matas,VitaYummy,VitaYummy Magnesium Citrate Strawberry 60 stk.,159.95,citrat,,,gummies
  Matas,Heey!,Heey! Rest & Recover Magnesium Strawberry Lemonade 210 g,219.95,uspecificeret,kompleks-flere-former,,pulver bisgly+citrat+malat+taurat+oxid
  Matas,Solaray,Solaray Magnesium Glycinate 267 g,399.95,bisglycinat,,,pulver
